Time,Gyro X,Gyro Y,Gyro Z,Accel X,Accel Y,Accel Z
17:16:52:0406,1,0,0,0,0,0
17:16:52:0416,1,0,0,0,0,0
17:16:52:0426,1,0,0,0,0,0
17:16:52:0436,1,0,0,0,0,0
17:16:52:0446,1,0,0,0,0,0
17:16:52:0456,1,0,0,0,0,0
17:16:52:0466,1,0,0,0,0,0
17:16:52:0476,1,0,0,0,0,0
17:16:52:0486,1,0,0,0,0,0
17:16:52:0496,1,0,0,0,0,0
17:16:52:0506,1,0,0,0,0,0
17:16:52:0516,1,0,0,0,0,0
17:16:52:0526,1,0,0,0,0,0
17:16:52:0536,1,0,0,0,0,0
17:16:52:0546,1,0,0,0,0,0
17:16:52:0556,1,0,0,0,0,0
17:16:52:0566,1,0,0,0,0,0
17:16:52:0576,1,0,0,0,0,0
17:16:52:0586,1,0,0,0,0,0
17:16:52:0596,1,0,0,0,0,0
17:16:52:0606,1,0,0,0,0,0
17:16:52:0616,1,0,0,0,0,0
17:16:52:0626,1,0,0,0,0,0
17:16:52:0636,1,0,0,0,0,0
17:16:52:0646,1,0,0,0,0,0
17:16:52:0656,1,0,0,0,0,0
17:16:52:0666,1,0,0,0,0,0
17:16:52:0676,1,0,0,0,0,0
17:16:52:0686,1,0,0,0,0,0
17:16:52:0696,1,0,0,0,0,0
17:16:52:0706,1,0,0,0,0,0
17:16:52:0716,1,0,0,0,0,0
17:16:52:0726,1,0,0,0,0,0
17:16:52:0736,1,0,0,0,0,0
17:16:52:0746,1,0,0,0,0,0
17:16:52:0756,1,0,0,0,0,0
17:16:52:0766,1,0,0,0,0,0
17:16:52:0776,1,0,0,0,0,0
17:16:52:0786,1,0,0,0,0,0
17:16:52:0796,1,0,0,0,0,0
17:16:52:0806,1,0,0,0,0,0
17:16:52:0816,1,0,0,0,0,0
17:16:52:0826,1,0,0,0,0,0
17:16:52:0836,1,0,0,0,0,0
17:16:52:0846,1,0,0,0,0,0
17:16:52:0856,1,0,0,0,0,0
17:16:52:0866,1,0,0,0,0,0
17:16:52:0876,1,0,0,0,0,0
17:16:52:0886,1,0,0,0,0,0
17:16:52:0896,1,0,0,0,0,0
17:16:52:0906,1,0,0,0,0,0
17:16:52:0916,1,0,0,0,0,0
17:16:52:0926,1,0,0,0,0,0
17:16:52:0936,1,0,0,0,0,0
17:16:52:0946,1,0,0,0,0,0
17:16:52:0956,1,0,0,0,0,0
17:16:52:0966,1,0,0,0,0,0
17:16:52:0976,1,0,0,0,0,0
17:16:52:0986,1,0,0,0,0,0
17:16:52:0996,1,0,0,0,0,0
17:16:52:1006,1,0,0,0,0,0
17:16:52:1016,1,0,0,0,0,0
17:16:52:1026,1,0,0,0,0,0
17:16:52:1036,1,0,0,0,0,0
17:16:52:1046,1,0,0,0,0,0
17:16:52:1056,1,0,0,0,0,0
17:16:52:1066,1,0,0,0,0,0
17:16:52:1076,1,0,0,0,0,0
17:16:52:1086,1,0,0,0,0,0
17:16:52:1096,1,0,0,0,0,0
17:16:52:1106,1,0,0,0,0,0
17:16:52:1116,1,0,0,0,0,0
17:16:52:1126,1,0,0,0,0,0
17:16:52:1136,1,0,0,0,0,0
17:16:52:1146,1,0,0,0,0,0
17:16:52:1156,1,0,0,0,0,0
17:16:52:1166,1,0,0,0,0,0
17:16:52:1176,1,0,0,0,0,0
17:16:52:1186,1,0,0,0,0,0
17:16:52:1196,1,0,0,0,0,0
17:16:52:1206,1,0,0,0,0,0
17:16:52:1216,1,0,0,0,0,0
17:16:52:1226,1,0,0,0,0,0
17:16:52:1236,1,0,0,0,0,0
17:16:52:1246,1,0,0,0,0,0
17:16:52:1256,1,0,0,0,0,0
